Compiler,Library,C,Method,Seconds,Ratio
Win-Clang-16.0.5,std,vector n:60000000,access,0.056,1.000
Win-Clang-16.0.5,std,vector n:60000000,iter,0.055,1.000
Win-Clang-16.0.5,std,vector n:60000000,destruct,0.011,1.000
Win-Clang-16.0.5,std,vector n:60000000,total,0.311,1.000
Win-Clang-16.0.5,STC,vector n:60000000,insert,0.190,1.005
Win-Clang-16.0.5,STC,vector n:60000000,erase,0.000,1.000
Win-Clang-16.0.5,STC,vector n:60000000,access,0.057,1.018
Win-Clang-16.0.5,STC,vector n:60000000,iter,0.055,1.000
Win-Clang-16.0.5,STC,vector n:60000000,destruct,0.011,1.000
Win-Clang-16.0.5,STC,vector n:60000000,total,0.313,1.006
VC-19.36,std,deque n:60000000,insert,0.249,1.000
VC-19.36,std,deque n:60000000,erase,0.069,1.000
VC-19.36,std,deque n:60000000,access,0.290,1.000
VC-19.36,std,deque n:60000000,iter,0.191,1.000
VC-19.36,std,deque n:60000000,destruct,0.084,1.000
VC-19.36,std,deque n:60000000,total,0.883,1.000
VC-19.36,STC,deque n:60000000,insert,0.187,0.751
VC-19.36,STC,deque n:60000000,erase,0.008,0.116
VC-19.36,STC,deque n:60000000,access,0.075,0.259
VC-19.36,STC,deque n:60000000,iter,0.131,0.686
VC-19.36,STC,deque n:60000000,destruct,0.012,0.143
VC-19.36,STC,deque n:60000000,total,0.413,0.468
VC-19.36,std,forward_list n:10000000,insert,0.273,1.000
VC-19.36,std,forward_list n:10000000,erase,0.181,1.000
VC-19.36,std,forward_list n:10000000,access,0.000,1.000
VC-19.36,std,forward_list n:10000000,iter,0.228,1.000
VC-19.36,std,forward_list n:10000000,destruct,0.184,1.000
VC-19.36,std,forward_list n:10000000,total,0.866,1.000
VC-19.36,STC,forward_list n:10000000,insert,0.268,0.982
VC-19.36,STC,forward_list n:10000000,erase,0.185,1.022
VC-19.36,STC,forward_list n:10000000,access,0.000,1.000
VC-19.36,STC,forward_list n:10000000,iter,0.230,1.009
VC-19.36,STC,forward_list n:10000000,destruct,0.181,0.984
VC-19.36,STC,forward_list n:10000000,total,0.864,0.998
VC-19.36,std,unordered_map n:2000000,insert,0.293,1.000
VC-19.36,std,unordered_map n:2000000,erase,0.251,1.000
VC-19.36,std,unordered_map n:2000000,access,0.076,1.000
VC-19.36,std,unordered_map n:2000000,iter,0.309,1.000
VC-19.36,std,unordered_map n:2000000,destruct,0.111,1.000
VC-19.36,std,unordered_map n:2000000,total,1.040,1.000
VC-19.36,STC,unordered_map n:2000000,insert,0.103,0.352
VC-19.36,STC,unordered_map n:2000000,erase,0.031,0.124
VC-19.36,STC,unordered_map n:2000000,access,0.027,0.355
VC-19.36,STC,unordered_map n:2000000,iter,0.023,0.074
VC-19.36,STC,unordered_map n:2000000,destruct,0.002,0.018
VC-19.36,STC,unordered_map n:2000000,total,0.186,0.179
VC-19.36,std,map n:1000000,insert,0.186,1.000
VC-19.36,std,map n:1000000,erase,0.152,1.000
VC-19.36,std,map n:1000000,access,0.235,1.000
VC-19.36,std,map n:1000000,iter,0.121,1.000
VC-19.36,std,map n:1000000,destruct,0.050,1.000
VC-19.36,std,map n:1000000,total,0.744,1.000
VC-19.36,STC,map n:1000000,insert,0.242,1.301
VC-19.36,STC,map n:1000000,erase,0.184,1.211
VC-19.36,STC,map n:1000000,access,0.181,0.770
VC-19.36,STC,map n:1000000,iter,0.024,0.198
VC-19.36,STC,map n:1000000,destruct,0.001,0.020
VC-19.36,STC,map n:1000000,total,0.632,0.849
VC-19.36,std,vector n:60000000,insert,0.189,1.000
VC-19.36,std,vector n:60000000,erase,0.000,1.000
VC-19.36,std,vector n:60000000,access,0.057,1.000
VC-19.36,std,vector n:60000000,iter,0.056,1.000
VC-19.36,std,vector n:60000000,destruct,0.011,1.000
VC-19.36,std,vector n:60000000,total,0.313,1.000
VC-19.36,STC,vector n:60000000,insert,0.189,1.000
VC-19.36,STC,vector n:60000000,erase,0.000,1.000
VC-19.36,STC,vector n:60000000,access,0.056,0.982
VC-19.36,STC,vector n:60000000,iter,0.055,0.982
VC-19.36,STC,vector n:60000000,destruct,0.012,1.091
VC-19.36,STC,vector n:60000000,total,0.312,0.997
